Earth atmospheric and ocean sciences,2000,Temporary visa holder,2692
Earth atmospheric and ocean sciences,2001,Temporary visa holder,2782
Earth atmospheric and ocean sciences,2002,Temporary visa holder,2777
Earth atmospheric and ocean sciences,2003,Temporary visa holder,2783
Earth atmospheric and ocean sciences,2004,Temporary visa holder,2794
Earth atmospheric and ocean sciences,2005,Temporary visa holder,2778
Earth atmospheric and ocean sciences,2006,Temporary visa holder,2767
Earth atmospheric and ocean sciences,2007,Temporary visa holder,2612
Earth atmospheric and ocean sciences,2008,Temporary visa holder,2777
Earth atmospheric and ocean sciences,2009,Temporary visa holder,2757
Earth atmospheric and ocean sciences,2010,Temporary visa holder,2926
Earth atmospheric and ocean sciences,2011,Temporary visa holder,3090
Earth atmospheric and ocean sciences,2012,Temporary visa holder,3206
Earth atmospheric and ocean sciences,2013,Temporary visa holder,3227
Earth atmospheric and ocean sciences,2014,Temporary visa holder,3318
Earth atmospheric and ocean sciences,2015,Temporary visa holder,3422
Computer sciences,2000,Temporary visa holder,22262
Computer sciences,2001,Temporary visa holder,26054
Computer sciences,2002,Temporary visa holder,27066
Computer sciences,2003,Temporary visa holder,24276
Computer sciences,2004,Temporary visa holder,21755
Computer sciences,2005,Temporary visa holder,20569
Computer sciences,2006,Temporary visa holder,20978
Computer sciences,2007,Temporary visa holder,22805
Computer sciences,2008,Temporary visa holder,24237
Computer sciences,2009,Temporary visa holder,24836
Computer sciences,2010,Temporary visa holder,25376
Computer sciences,2011,Temporary visa holder,25578
Computer sciences,2012,Temporary visa holder,26827
Computer sciences,2013,Temporary visa holder,32148
Computer sciences,2014,Temporary visa holder,46916
Computer sciences,2015,Temporary visa holder,55165
Mathematics,2000,Temporary visa holder,6057
Mathematics,2001,Temporary visa holder,6484
Mathematics,2002,Temporary visa holder,7024
Mathematics,2003,Temporary visa holder,7408
Mathematics,2004,Temporary visa holder,7407
Mathematics,2005,Temporary visa holder,7442
Mathematics,2006,Temporary visa holder,7596
Mathematics,2007,Temporary visa holder,7543
Mathematics,2008,Temporary visa holder,8165
Mathematics,2009,Temporary visa holder,8315
Mathematics,2010,Temporary visa holder,8615
Mathematics,2011,Temporary visa holder,9150
Mathematics,2012,Temporary visa holder,9835
Mathematics,2013,Temporary visa holder,10442
Mathematics,2014,Temporary visa holder,11434
Mathematics,2015,Temporary visa holder,12419
Medical and other health sciences,2000,Temporary visa holder,5532
Medical and other health sciences,2001,Temporary visa holder,6249
Medical and other health sciences,2002,Temporary visa holder,7273
Medical and other health sciences,2003,Temporary visa holder,7552
Medical and other health sciences,2004,Temporary visa holder,7394
Medical and other health sciences,2005,Temporary visa holder,7734
Medical and other health sciences,2006,Temporary visa holder,8334
Medical and other health sciences,2007,Temporary visa holder,8097
Medical and other health sciences,2008,Temporary visa holder,8545
Medical and other health sciences,2009,Temporary visa holder,8654
Medical and other health sciences,2010,Temporary visa holder,8031
Medical and other health sciences,2011,Temporary visa holder,7516
Medical and other health sciences,2012,Temporary visa holder,7471
Medical and other health sciences,2013,Temporary visa holder,7639
Medical and other health sciences,2014,Temporary visa holder,7906
Medical and other health sciences,2015,Temporary visa holder,8067
Physical sciences,2000,Temporary visa holder,11655
Physical sciences,2001,Temporary visa holder,12203
Physical sciences,2002,Temporary visa holder,13090
Physical sciences,2003,Temporary visa holder,14127
Physical sciences,2004,Temporary visa holder,14613
Physical sciences,2005,Temporary visa holder,14700
Physical sciences,2006,Temporary visa holder,14757
Physical sciences,2007,Temporary visa holder,14407
Physical sciences,2008,Temporary visa holder,14763
Physical sciences,2009,Temporary visa holder,15078
Physical sciences,2010,Temporary visa holder,15321
Physical sciences,2011,Temporary visa holder,15556
Physical sciences,2012,Temporary visa holder,15651
Physical sciences,2013,Temporary visa holder,15593
Physical sciences,2014,Temporary visa holder,15656
Physical sciences,2015,Temporary visa holder,15877
Psychology,2000,Temporary visa holder,2263
Psychology,2001,Temporary visa holder,2521
Psychology,2002,Temporary visa holder,2857
Psychology,2003,Temporary visa holder,3107
Psychology,2004,Temporary visa holder,3194
Psychology,2005,Temporary visa holder,3054
Psychology,2006,Temporary visa holder,2851
Psychology,2007,Temporary visa holder,3043
Psychology,2008,Temporary visa holder,3079
Psychology,2009,Temporary visa holder,2938
Psychology,2010,Temporary visa holder,3087
Psychology,2011,Temporary visa holder,3088
Psychology,2012,Temporary visa holder,3101
Psychology,2013,Temporary visa holder,3060
Psychology,2014,Temporary visa holder,2965
Psychology,2015,Temporary visa holder,3109
Social sciences,2000,Temporary visa holder,16323
Social sciences,2001,Temporary visa holder,17018
Social sciences,2002,Temporary visa holder,18062
Social sciences,2003,Temporary visa holder,18264
Social sciences,2004,Temporary visa holder,18375
Social sciences,2005,Temporary visa holder,18079
Social sciences,2006,Temporary visa holder,18810
Social sciences,2007,Temporary visa holder,18371
Social sciences,2008,Temporary visa holder,19194
Social sciences,2009,Temporary visa holder,19383
Social sciences,2010,Temporary visa holder,19573
Social sciences,2011,Temporary visa holder,20420
Social sciences,2012,Temporary visa holder,21068
Social sciences,2013,Temporary visa holder,21708
Social sciences,2014,Temporary visa holder,22049
Social sciences,2015,Temporary visa holder,22060
